TIME;SPEED_NO;SPEED_EO;SPEED_DO;SPEED_3D;ACC_NO;ACC_EO;ACC_DO;X_O;Y_O;Z_O;ALTITUDE;LONGITUDE_RAD;LONGITUDE_DEG;LATITUDE;LATITUDE_DEG;E1_XO;E2_XO;E3_XO
65,34;-2,966077779;10,63823035;1,80866717;11,19110537;0,007511465;-0,011603915;-0,004557067;-23,6867214;74,7566204;12,93903927;3185,789239;0,20349811;11,65958281;0,821287079;47,05628341;-0,325477162;-0,939312132;0,108431247
65,36;-2,872929457;10,62564504;1,771575589;11,14883565;0,00690851;-0,011381744;-0,004578763;-23,74425035;74,96741878;12,97496237;3185,753313;0,203498158;11,65958559;0,82128707;47,05628289;-0,327064586;-0,939004837;0,10629521
65,38;-2,82195911;10,60773958;1,740093015;11,11375345;0,006258916;-0,011203109;-0,004591706;-23,80150793;75,178252;13,01108548;3185,717187;0,203498206;11,65958837;0,821287061;47,05628238;-0,327304752;-0,938580256;0,109264371
65,4;-2,793892192;10,63333565;1,711036766;11,12660359;0,005551358;-0,011086703;-0,004649169;-23,85852786;75,38889472;13,04741275;3185,680857;0,203498255;11,65959115;0,821287052;47,05628186;-0,328431383;-0,938042479;0,110494948
65,42;-2,792300222;10,64323353;1,691351819;11,13265608;0,005073144;-0,010867744;-0,004762306;-23,91579185;75,59743397;13,08359719;3185,64467;0,203498303;11,6595939;0,821287043;47,05628135;-0,329074628;-0,937483944;0,113286112
65,44;-2,801909938;10,65871583;1,672215254;11,14698284;0,004478777;-0,010736816;-0,004924474;-23,97305864;75,80567705;13,11937203;3185,608892;0,203498351;11,65959664;0,821287034;47,05628084;-0,329229701;-0,93709604;0,116012137
65,46;-2,797561261;10,65022599;1,649020396;11,13431322;0,003847172;-0,010707634;-0,004982222;-24,03041905;76,01418157;13,15506288;3185,573199;0,203498399;11,65959939;0,821287025;47,05628032;-0,328476539;-0,936832516;0,120199833
65,48;-2,775003582;10,6135588;1,64506419;11,0929938;0,00328428;-0,010783777;-0,005060654;-24,08799093;76,223368;13,19070004;3185,537559;0,203498447;11,65960214;0,821287016;47,0562798;-0,326434498;-0,936674865;0,126809762
65,5;-2,935545444;10,60967774;1,674099425;11,13486855;0,00280683;-0,011011333;-0,005115202;-24,15699828;76,43492887;13,22659039;3185,501666;0,203498496;11,65960493;0,821287006;47,05627918;-0,318432261;-0,938341992;0,134592722
65,52;-3,078918249;10,60556491;1,711892699;11,17534435;0,002280223;-0,011183722;-0,00514851;-24,21420883;76,60344487;13,25533547;3185,472919;0,203498534;11,65960715;0,821286997;47,05627867;-0,312809874;-0,939690435;0,138317997
65,54;-3,196229434;10,60095809;1,744696615;11,20893221;0,001726011;-0,011237538;-0,005185759;-24,27123086;76,77138201;13,28365555;3185,444596;0,203498573;11,65960937;0,821286988;47,05627816;-0,309775328;-0,940685654;0,138382609
